R1,R2,R3,R4,barrier
Me,H,Cl,OMe,22.419427184000003
Me,Br,H,Ph,22.430094735
H,Cl,Br,NH2,22.453312346
Cl,Ph,Br,H,22.460842382000003
H,H,Br,NHMe,22.468372418
H,Br,Cl,NHPh,22.469627424
Cl,Cl,Ph,H,22.504767592
Cl,H,Me,H,22.526730197000003
Br,H,Br,NHPh,22.540535263
Cl,H,Cl,NH2,22.553085323
H,Cl,Br,NHPh,22.555595335
H,Br,Cl,NHMe,22.590735503
H,Ph,H,Ph,22.610188096
H,Me,Br,NHPh,22.624620665
Cl,Me,Br,OMe,22.63403321
Br,Me,Br,OMe,22.681723438
Me,H,Br,NHPh,22.705568552000003
Ph,Cl,H,Ph,22.708706067
Cl,H,H,OMe,22.720628624
Br,Ph,Br,H,22.72815866
Me,H,Ph,Me,22.772083870000003
H,Ph,Br,Me,22.806596535000004
Cl,Ph,Cl,H,22.821029104
Br,H,Br,NHMe,22.851149248
Br,Me,Ph,H,22.868091829000004
Me,H,Me,Ph,22.883779404
Ph,H,H,H,22.887544422
H,Ph,Cl,Me,22.907624518
Ph,Br,H,Ph,22.911389536000005
Me,H,Me,H,22.934607147
Cl,Me,H,Ph,22.954687243
Br,Me,H,Ph,22.967864806
H,Me,Ph,Ph,22.987317399
Me,Cl,Br,OMe,23.014927531
H,Br,Br,NH2,23.022457567
Cl,Cl,H,OMe,23.033125118000005
Br,H,Br,NH2,23.043165166
Me,Br,H,H,23.043165166
Ph,H,Cl,OMe,23.055715226
Br,Br,Ph,H,23.056342729
H,Br,H,Me,23.06701028
Me,Me,H,Me,23.077677831
Cl,Me,Ph,H,23.080187843
Ph,Cl,Br,H,23.087717879
Me,Cl,Cl,OMe,23.144193149
H,Me,Ph,Me,23.198785910000005
Me,Br,Ph,H,23.240201108
Me,Br,Br,OMe,23.257771192
Br,Cl,Cl,OMe,23.259653701000005
Ph,Me,H,Ph,23.313618959
Cl,Cl,Br,OMe,23.337464073000003
Me,Ph,Br,H,23.338091576000004
H,Me,Me,H,23.358799175
Cl,Cl,Cl,OMe,23.360681684
Cl,Me,Cl,Me,23.36193669
Me,H,Br,NH2,23.370094229
Br,H,H,OMe,23.376996762000005
Cl,Br,H,OMe,23.425941996
Me,Ph,Br,Me,23.434099535000005
Cl,H,Me,Ph,23.435354541
H,Me,Cl,NHPh,23.442884577000004
Cl,H,Cl,NHPh,23.449787110000003
Br,Br,H,OMe,23.460454661
Me,Br,Cl,OMe,23.476769739
Ph,H,Br,NHPh,23.508772392
Me,Me,Cl,OMe,23.510654901
Br,H,Cl,NHPh,23.512537410000004
H,Ph,Br,OMe,23.525714973
Cl,H,H,Me,23.588465273
Br,Ph,Cl,H,23.599760327
Cl,H,Cl,NHMe,23.599760327
Br,H,Ph,OMe,23.605407854
H,Cl,H,OMe,23.607290363000004
Ph,H,Me,Ph,23.634900495
Br,Cl,H,OMe,23.639293016
Me,Cl,Cl,Me,23.653725585
Cl,Br,Br,OMe,23.660000615000005
H,Cl,Cl,NHMe,23.663138130000004
H,Br,H,OMe,23.670668166
Cl,Me,Cl,Ph,23.686983244
Br,H,H,Me,23.691375765
H,Me,Br,NH2,23.693258274
Me,H,Cl,NHPh,23.70078831
Cl,Me,H,H,23.704553328
Br,Cl,Br,OMe,23.724633424000004
H,Cl,Me,H,23.738438490000004
H,H,Cl,NHMe,23.747851035
Br,Me,Cl,Me,23.787383724
H,Me,H,OMe,23.80118879
Ph,Cl,Cl,H,23.803071299000003
Br,H,Cl,NH2,23.813111347
Br,Ph,H,Ph,23.818758874
Me,H,H,OMe,23.826916413
Cl,Br,Cl,OMe,23.833191443
Me,Ph,Cl,H,23.870841623
Br,Br,H,NH2,23.872724132
Br,Me,Me,H,23.877744156
H,Br,Me,H,23.927944396
Cl,Ph,H,Ph,23.930454408000003
Br,H,Me,Ph,23.969987097
H,Cl,H,Me,23.992577205
Me,Me,H,H,23.997597229
Me,Cl,H,H,24.038384924
Cl,Me,H,Me,24.066622559
Me,Me,Br,OMe,24.074152595000005
Ph,H,Me,H,24.113057781
Cl,Br,H,NH2,24.124352835000003
Cl,H,Br,NHMe,24.125607841000004
H,Cl,Br,NHMe,24.164513027
Br,Cl,Me,H,24.212203255
H,Ph,Cl,OMe,24.212830758000003
Cl,H,Ph,OMe,24.214713267
Cl,Me,Me,H,24.230400842
H,H,Ph,NHPh,24.244205908
Ph,Me,Ph,H,24.246088417000003
H,Me,Ph,OMe,24.25926598
Cl,Br,Me,H,24.270561034
H,Cl,Ph,OMe,24.27809107
H,H,Ph,NH2,24.313858741
H,Me,Cl,NH2,24.351508921000004
H,Br,Ph,NHPh,24.355901442000004
Br,Me,H,Me,24.359038957000003
H,Br,Br,NHMe,24.381001562
H,H,Me,Me,24.399826652
Me,Br,Ph,Ph,24.4098667
Br,Br,Br,OMe,24.431201802000004
Me,Br,Br,NHPh,24.435594323000004
Me,Cl,Ph,Ph,24.458184431
Ph,Br,Cl,H,24.458184431
Ph,Me,H,Me,24.46006694
Cl,Me,Cl,NHPh,24.494579605
Me,H,Cl,NH2,24.502737144
H,Br,Br,NHPh,24.507757168
Br,Me,Cl,Ph,24.508384671
Br,Br,Cl,OMe,24.517797216
Br,Me,Cl,OMe,24.530347276000004
H,Me,Br,NHMe,24.547289857000003
Cl,Br,Br,NH2,24.548544863000004
Cl,Me,Cl,OMe,24.568624959
Me,H,Br,NHMe,24.574272486
Cl,Br,Ph,Ph,24.618825199
Me,Cl,Br,Me,24.626355235
H,Br,Ph,OMe,24.645180325
Me,H,H,Me,24.652710361000004
Me,Me,Cl,NHPh,24.677182978
Br,Br,Me,H,24.68596802
Cl,Br,H,Me,24.687223026
Br,Cl,Cl,NHPh,24.702910601000003
H,Ph,Ph,Ph,24.702910601000003
Br,H,Ph,NHPh,24.719853182
Ph,H,Cl,NHPh,24.733030745
H,Br,Ph,NH2,24.768170913
Me,Cl,Ph,H,24.781348476
H,Ph,Cl,Ph,24.781348476
H,H,Br,NMe2,24.793271033
H,H,H,NMe2,24.807076099
Br,Me,Cl,NHPh,24.816488644000003
H,Ph,Br,Ph,24.868571393
H,Ph,H,OMe,24.876728932
Me,H,Ph,OMe,24.879238944000004
Ph,Me,H,H,24.902456555
Ph,H,Br,NH2,24.916889124
Br,Cl,H,Me,24.937596723
Br,Br,H,Me,24.968971873
Me,Me,Br,Ph,24.969599376
Cl,Me,Br,NH2,24.982776939
Br,Cl,Ph,H,25.002857035
H,Ph,Ph,Me,25.020427119
Br,Cl,Cl,NH2,25.061842317000004
Ph,Cl,H,H,25.078157395
Br,Me,Cl,NH2,25.084432425
Cl,Cl,Cl,Me,25.120827599
Cl,Me,Br,NHPh,25.158477779
Me,Br,Cl,Me,25.168517827
Cl,Cl,H,Me,25.171655342
Br,H,Cl,NHMe,25.233150636
Cl,Me,Ph,Me,25.240053169000003
H,H,Cl,NMe2,25.240053169000003
Me,Br,Br,Me,25.255113241
Me,Cl,H,Me,25.258250756
Cl,Me,Cl,NH2,25.260760768
Me,Me,Br,Me,25.291508415000003
Br,Cl,Cl,Me,25.326648583
H,Ph,Br,NH2,25.365553769
Ph,H,Ph,OMe,25.36994629
Br,Me,Br,NH2,25.37622132
Me,Me,Cl,Ph,25.394418907
Me,Me,Br,NH2,25.421401536
Cl,Cl,Ph,OMe,25.423284045000003
Br,Br,Cl,NH2,25.439599123
Ph,Br,H,OMe,25.464699243
H,Cl,H,NMe2,25.469091764
Ph,Br,H,H,25.484779339000003
Me,Me,Me,H,25.528077046000003
Cl,Cl,Cl,NH2,25.531214561
Cl,Br,Ph,OMe,25.534979579
Ph,H,H,Me,25.544392124
Me,Cl,Cl,Ph,25.550039651
Me,Br,H,OMe,25.551294657
Cl,H,Ph,NHPh,25.552549663
Cl,Br,Ph,NHPh,25.559452196
Ph,H,H,OMe,25.563844717
Cl,Cl,Br,Me,25.578277286
Me,Br,Br,NH2,25.596474873
H,H,Me,OMe,25.603377406
H,Br,Me,OMe,25.617182472
Me,Cl,Cl,NH2,25.619692484000005
Cl,H,H,NH2,25.635380059000003
H,Ph,Me,H,25.64604761
H,Cl,Ph,NHMe,25.650440131
Me,Me,Cl,NH2,25.654205149000003
Ph,Br,Cl,Me,25.682442784000003
Me,Cl,Br,Ph,25.684952796000005
Cl,Br,H,NMe2,25.688090311000003
Br,Me,Br,NHPh,25.690600323
H,Me,Cl,NHMe,25.704405389
Me,Br,Cl,NH2,25.705032892
Br,Me,Ph,Me,25.710052916
Me,Cl,Me,H,25.750213108000004
H,Ph,Cl,NH2,25.769665701
Me,Cl,H,OMe,25.770293204
Br,Me,H,OMe,25.7903733
Me,Ph,Cl,Ph,25.793510815000005
Me,Cl,Br,NHMe,25.818610935
Cl,H,H,NMe2,25.824885965
Cl,Cl,Me,H,25.832416001
Cl,Me,H,OMe,25.866301163000003
H,Me,Ph,NHPh,25.885126253000003
Me,Ph,Cl,Me,25.888891271
Me,Me,Cl,Me,25.895793804
Cl,Br,Cl,NH2,25.906461355000005
Br,H,H,NMe2,25.909598870000004
Me,Ph,Ph,Ph,25.912108882
Cl,Br,Cl,NHMe,25.915873900000005
Cl,Cl,Cl,NHPh,25.932816481000003
Me,Ph,Br,Ph,25.951641571
Me,Br,Ph,OMe,25.959171607000005
H,Br,Me,Me,25.968584152
Me,Br,Me,H,25.974231679000003
H,H,Ph,NHMe,25.989291751000003
Cl,Me,Br,Ph,25.990546757
Br,Me,Cl,NHMe,26.007489338
Me,Ph,Br,OMe,26.008116841
Br,H,Me,OMe,26.008116841
H,H,H,NHPh,26.012509362
Me,Cl,Ph,NHPh,26.020666901
Cl,Ph,H,H,26.022549410000003
Cl,Br,Cl,Me,26.026314428000003
Ph,Cl,Cl,OMe,26.040119494
Cl,H,Ph,NH2,26.04764953
Cl,Ph,Ph,H,26.048904536
Me,Cl,Ph,OMe,26.055179566000003
Me,Br,Ph,NHPh,26.074632159
H,Me,Me,Me,26.076514668000005
