R1,R2,R3,R4,barrier
Ph,Br,Br,NHMe,30.259449666
Ph,Br,H,NHPh,30.268234708
Br,Me,Ph,NHMe,30.299609858000004
Ph,Me,H,NMe2,30.306512391
Br,Ph,Cl,NHPh,30.311532415
Br,Cl,Br,NHPh,30.32721999
Me,Me,Ph,NHMe,30.33035750500001
Ph,Ph,H,OMe,30.361732655
H,Ph,Ph,NMe2,30.379302739
Cl,Ph,Br,NHPh,30.387460278
Br,Cl,Ph,Ph,30.414442907
Ph,Me,Ph,OMe,30.418207925
Me,Br,Me,Me,30.423855452
Br,Br,Br,NMe2,30.424482955
Br,Ph,Br,NH2,30.42762047
Me,Me,Ph,Me,30.432640494
Br,Ph,H,OMe,30.432640494
Me,H,Me,NHPh,30.445190554
Ph,H,H,NHPh,30.448955572
H,Ph,Me,OMe,30.457113111
H,Me,Ph,NMe2,30.493508285
Ph,Br,H,NH2,30.512333375000004
Cl,Ph,Ph,OMe,30.517353399000005
Me,Ph,Ph,Me,30.526765944
Me,Br,Cl,NMe2,30.544336028
H,Cl,Me,NH2,30.577593687000004
Br,Me,Ph,Ph,30.61775387900001
Cl,Me,Ph,NHMe,30.625911418000005
Me,Ph,Me,OMe,30.642853999000003
Cl,Cl,Br,NHMe,30.66607161
Ph,Ph,Ph,H,30.725684395
Br,Br,Br,NH2,30.751412018000003
Me,Cl,Me,Ph,30.763334575
Br,Ph,Ph,Ph,30.772119617
Br,Br,Ph,Me,30.781532162
Ph,Br,Ph,NHMe,30.783414671000003
Ph,Cl,Ph,NHMe,30.803494767000004
Me,Br,Ph,NMe2,30.852440001000005
Br,Ph,Cl,NHMe,30.875657612
Br,Ph,Br,NHPh,30.877540121000003
Br,Br,Cl,NMe2,30.878795127000004
Cl,Cl,Me,Me,30.891345187
Me,Cl,Ph,NMe2,30.907032762
Me,Br,H,NHMe,30.911425283000003
Br,Cl,Me,NHPh,30.915190301000003
Ph,Me,Ph,NH2,30.915190301000003
Ph,Me,Cl,NHMe,30.925857852000004
Br,Br,Br,NHPh,30.936525403
Cl,Me,Me,Ph,30.947820457
Cl,H,Me,NH2,30.950957972
Ph,Br,Me,OMe,31.068301033
Me,Me,Me,Me,31.078968584000005
H,Ph,Cl,NMe2,31.099676183000003
Br,Br,Cl,NHPh,31.162426483
Ph,Me,Br,NHMe,31.190036615
Ph,Br,Cl,Ph,31.191919124
Cl,Ph,Cl,NHMe,31.218901753
Br,Br,Ph,Ph,31.225176783
Cl,Br,Br,NHMe,31.291692101
Br,H,Ph,NMe2,31.297967131
Br,H,Me,NHPh,31.321184742000003
Ph,Me,H,NHMe,31.377032509000003
Ph,Cl,Me,Ph,31.417820204
Cl,Cl,Me,Ph,31.471157959000003
Br,Me,Me,OMe,31.50692563
Me,Me,H,NHPh,31.510690648
Br,Me,Me,Me,31.530143241
Br,Br,Ph,NMe2,31.530770744
Ph,Cl,H,NHMe,31.542693301
Me,H,H,NHMe,31.558380876000005
Cl,Cl,Ph,NHPh,31.559635882
Cl,Me,Br,NMe2,31.591638535
Me,Ph,Ph,NHMe,31.591638535
Br,Cl,Br,NHMe,31.609836122000004
Br,Cl,Ph,NMe2,31.654388835
Cl,Ph,Br,NHMe,31.666311392000004
Br,Ph,Br,NHMe,31.695804033
Br,Me,H,NHPh,31.715884129
Ph,H,H,NH2,31.727806686000005
H,Cl,Me,NHMe,31.7516518
Br,Ph,H,NHPh,31.786164465
Cl,Br,Me,Me,31.833854693000003
Cl,Br,Ph,NH2,31.835737202000004
Ph,Ph,Br,Me,31.837619711
Ph,Br,Me,Ph,31.843894741000003
Ph,Cl,Me,OMe,31.850169771
Cl,Me,H,NHPh,31.850797274
Ph,Ph,Br,NH2,31.88342743
H,H,Me,NHMe,31.938020191
Ph,Br,H,NHMe,31.946805233
Cl,Ph,H,NHPh,31.950570251
Br,Cl,Me,Me,31.952452760000003
Cl,Me,Cl,NMe2,31.968767838
H,Ph,Ph,NHPh,32.029635629
Ph,Me,Ph,Ph,32.032773144000004
Br,H,Me,NH2,32.04030318
H,Br,Me,NH2,32.075443348
H,Me,H,NHMe,32.092385929
Br,H,Me,NHMe,32.175216325
Cl,Me,Me,NHPh,32.207218978
Ph,Ph,Br,OMe,32.258674224
Br,Br,Br,NHMe,32.280009326000005
Ph,Cl,H,NH2,32.293814392
Cl,Br,Me,Ph,32.313894488
H,H,Me,NMe2,32.314521991
Me,Me,Me,NHPh,32.319542015
Br,Cl,Me,Ph,32.32895456000001
Ph,Ph,Cl,NH2,32.332719578
Ph,Ph,H,Me,32.345897141
Br,Cl,Ph,NH2,32.378527297000005
Me,H,Me,NMe2,32.414294968
Br,Me,Cl,NMe2,32.421197501
Ph,Me,Ph,NHMe,32.524107993
H,Ph,Ph,NH2,32.539795568
Me,H,Me,NH2,32.574308233000004
Cl,Cl,Ph,NH2,32.578073251
Br,Ph,Me,Me,32.623253467000005
Ph,H,Me,NHPh,32.657766132
Br,Br,Ph,NHPh,32.697298821000004
Br,Br,Me,Me,32.708593875
Ph,Ph,Cl,OMe,32.747499061
Me,Me,Me,NH2,32.837859493
Me,Cl,Me,NH2,32.875509673
H,Ph,Me,NH2,32.881784703
H,Ph,H,NHMe,32.914414859000004
Me,Ph,H,NH2,32.972772638
Cl,Ph,Me,Me,33.048072998
Cl,Ph,Ph,NH2,33.148473478
Br,Br,Me,Ph,33.155376011
Cl,Ph,Ph,NHPh,33.221891329
Ph,H,H,NHMe,33.226911353
Cl,Ph,Ph,Ph,33.228166359
Br,Ph,Ph,Me,33.236323898
Ph,Ph,Ph,OMe,33.247618952
H,Ph,Me,NHPh,33.311624258
Cl,Cl,Ph,NHMe,33.322291809
H,Cl,Br,NMe2,33.346136923
H,Me,Me,NHPh,33.368727031000006
Br,Ph,Me,OMe,33.417672265
Ph,Cl,Br,NMe2,33.432732337000004
Cl,Br,Ph,NHMe,33.444027391
Cl,Ph,Me,OMe,33.459714966
Ph,Ph,Me,Me,33.465989996
Me,Ph,Ph,NMe2,33.511170212
Ph,H,Me,NMe2,33.559487943
Me,H,Ph,NMe2,33.579568039
Me,Ph,Me,NHPh,33.663653441
Ph,Cl,Ph,Ph,33.683733537
Ph,Cl,Me,NHPh,33.736443789
Cl,Cl,Me,NHPh,33.763426418
H,Br,Me,NHMe,33.774721472
Br,Cl,Ph,NHMe,33.774721472
Ph,Me,Me,OMe,33.789781544
Ph,Me,H,NHPh,33.797939083
Ph,Cl,Cl,NMe2,33.864454401
Me,Ph,Br,NMe2,33.87888697
Br,Me,H,NHMe,33.883279491
H,Me,Me,NH2,33.883279491
Ph,Ph,Br,NHMe,33.906497102
Ph,Br,Br,NMe2,33.940382264
Br,Br,Ph,NHMe,34.018192636
Cl,Ph,H,NHMe,34.04768527700001
Me,Br,Ph,NHMe,34.05458781
Cl,Ph,Me,Ph,34.061490343
Ph,Br,Cl,NMe2,34.10478805
Cl,Cl,Me,NH2,34.148085757000004
Cl,H,Me,NHMe,34.158125805
Me,Ph,H,NMe2,34.181970919
Ph,Ph,Me,H,34.183225925
Me,Ph,Me,NH2,34.207698542
Ph,Ph,Me,Ph,34.254761267
Ph,Ph,Cl,NHMe,34.277978878000006
Cl,Me,H,NHMe,34.28801892600001
Me,Ph,Cl,NMe2,34.288646429
Me,H,Me,NHMe,34.319394076
Ph,Ph,Ph,NH2,34.346376705000004
Cl,Br,Me,NH2,34.390929418000006
Cl,Br,Me,NHPh,34.422304568
Me,Br,Me,NHMe,34.428579598
H,Cl,Cl,NMe2,34.459327245000004
Br,Ph,Me,Ph,34.461837257000006
H,Ph,Me,NHMe,34.501997449
Me,Ph,H,NHMe,34.549060174000005
Ph,Ph,H,NMe2,34.573532791000005
Me,Br,Me,NMe2,34.624360534000004
Br,Cl,Me,NH2,34.645068133
Ph,Me,Me,Ph,34.646323139
H,Br,Cl,NMe2,34.694013367000004
Cl,Cl,Me,NMe2,34.744213607000006
Me,Cl,Me,NHMe,34.746096116000004
Br,Ph,Br,NMe2,34.822651482000005
Ph,Cl,Me,Me,34.837084051
Cl,Ph,Br,NMe2,34.867831698
Ph,Br,Me,Me,34.911756908
Cl,Br,Me,NMe2,34.933719513
Ph,Br,Ph,NMe2,34.934347016000004
Ph,Cl,Ph,NMe2,34.966349669
Br,Ph,Ph,NHPh,35.006509861000005
Me,Cl,Me,NMe2,35.061102622
Br,Ph,Cl,NMe2,35.063612634
Me,Me,Me,NHMe,35.087457748000006
Ph,Ph,H,NHPh,35.160248096000004
Br,Me,Br,NMe2,35.352264014
Br,Br,Me,NHPh,35.352891517
Ph,Me,Cl,NMe2,35.374226619000005
Me,Ph,Ph,NH2,35.391796703000004
Ph,Me,Br,NMe2,35.395561721
Me,Ph,Ph,NHPh,35.421289344
Br,Me,Me,NHPh,35.421916847
Br,H,Me,NMe2,35.430074386
H,Br,H,NMe2,35.448899476
Ph,Me,Me,Me,35.506629752
Ph,Cl,Me,NHMe,35.529847363
Cl,Cl,Ph,NMe2,35.580675106
Br,Me,Me,NH2,35.587577639
Cl,H,Me,NMe2,35.631502849
Cl,Ph,Cl,NMe2,35.636522873000004
Br,Ph,Ph,NH2,35.667898023000006
Ph,Ph,Me,OMe,35.681075586000006
Cl,Br,Ph,NMe2,35.700528179
H,Br,Me,NMe2,35.722490784
Br,Cl,Cl,NMe2,35.858031432000004
Ph,Ph,Ph,NHMe,35.905094157
Br,Cl,Me,NHMe,35.906349163
Cl,Me,Me,NH2,36.109032632
Ph,Ph,Ph,Ph,36.153585345
Ph,Me,Me,NH2,36.24269077100001
Ph,Ph,H,NH2,36.262143364
Br,Br,Me,NH2,36.30104855
Me,Ph,Me,NHMe,36.339326233
Cl,Ph,Ph,NHMe,36.379486425
Br,Ph,Ph,OMe,36.395801503
Cl,Cl,H,NMe2,36.432196677
H,Me,Me,NMe2,36.469219354
Br,Ph,Me,NHPh,36.48302442
Ph,Ph,Br,NHPh,36.500594504
Ph,H,Me,NHMe,36.505614528
Ph,Ph,Ph,Me,36.570247337
Br,Br,Me,NHMe,36.58969993
Cl,Cl,Me,NHMe,36.648057709
Br,Ph,H,NH2,36.826896064
H,Ph,Me,NMe2,36.851368681
Br,Br,H,NMe2,36.893411382
Ph,Br,Me,NHPh,37.086054803
Br,Ph,Me,NH2,37.119312462
Ph,Ph,Cl,NHPh,37.174532726
Ph,Ph,Br,NMe2,37.233518008
Ph,Cl,Me,NH2,37.285600757000005
Me,Ph,Ph,OMe,37.293758296
H,Me,Me,NHMe,37.314465895
Cl,Ph,Me,NHPh,37.406081333
Ph,Br,Me,NH2,37.485774214
Ph,Ph,Cl,NMe2,37.49330425
Cl,Ph,Me,NH2,37.70038024
Me,Me,Me,NMe2,37.705400264000005
Br,Cl,Ph,NHPh,37.866668535
Ph,Ph,Me,NHPh,37.887376134
Ph,Me,Me,NHMe,37.891141152
Cl,Ph,Ph,NMe2,37.946361416
Me,Me,Br,NMe2,38.085667082
Me,Cl,H,NMe2,38.108884693
Cl,Me,Me,NHMe,38.121434753
Cl,Br,Me,NHMe,38.139004837
Me,Me,Cl,NMe2,38.58515947000001
Me,Br,H,NMe2,38.630339686
Me,Ph,Me,NMe2,38.733877681
Ph,Ph,Me,NH2,38.748937753
Ph,Br,Me,NMe2,38.762115316000006
Ph,Me,Ph,NHPh,38.769017849
Br,Ph,Ph,NMe2,38.826120622000005
Ph,Br,Me,NHMe,38.827375628000006
Me,Cl,Cl,NMe2,38.831768149000006
Br,Ph,H,NHMe,38.898283467000006
Ph,Cl,Me,NMe2,38.927148605
Ph,Ph,H,NHMe,39.001193959000005
Br,Ph,Me,NHMe,39.155559697
Br,Ph,Ph,NHMe,39.286707824
Br,Me,Ph,NMe2,39.304277908
Br,Me,Me,NHMe,39.350085627000006
Ph,Ph,Ph,NMe2,39.452368616
Br,Ph,Me,NMe2,39.47433122100001
Cl,Ph,Me,NHMe,40.201607198000005
Ph,Me,Me,NHPh,40.264357498
Ph,Ph,Ph,NHPh,40.334637834000006
Ph,Cl,H,NMe2,40.608856645
Br,Cl,Me,NMe2,40.759457365
Br,Br,Me,NMe2,40.924490654
Br,Me,Me,NMe2,41.022381122000006
Cl,Ph,Me,NMe2,41.08450391900001
Cl,Me,Ph,NMe2,41.179256872
H,Cl,Me,NMe2,42.658281443
Ph,Ph,Me,NMe2,42.835237289000005
Cl,Me,Me,NMe2,42.898615092
Me,Me,Ph,NMe2,43.640323638
Ph,Ph,Me,NHMe,45.864194270000006
Ph,Me,Ph,NMe2,47.223993271000005
Ph,Me,Me,NMe2,49.757850385000005
